seed,cxpb,mutpb,earliest_gen_of_max_value,max_value
8,0.1,0.9,28,675.7026605338666
8,0.2,0.8,26,675.7026605338666
8,0.3,0.7,37,675.7026605338666
8,0.4,0.6,27,675.7026605338666
8,0.5,0.5,53,675.7026605338666
8,0.6,0.4,64,675.7026605338666
8,0.7,0.3,63,667.1841337287913
8,0.8,0.2,90,646.9005503283591
8,0.9,0.1,92,582.2077991210102
8,1.0,0.0,0,339.6194412660896
9,0.0,1.0,27,829.0785848630275
9,0.1,0.9,33,829.0785848630275
9,0.2,0.8,20,829.0785848630275
9,0.3,0.7,51,829.0785848630275
9,0.4,0.6,46,829.0785848630275
9,0.5,0.5,42,829.0785848630275
9,0.6,0.4,59,829.0785848630275
9,0.7,0.3,69,829.0785848630275
9,0.8,0.2,98,829.0785848630275
9,0.9,0.1,80,775.8562168625249
9,1.0,0.0,0,426.11130133676664
10,0.0,1.0,29,650.1189742419588
10,0.1,0.9,21,650.1189742419588
10,0.2,0.8,47,650.1189742419588
10,0.3,0.7,32,650.1189742419588
10,0.4,0.6,37,650.1189742419588
10,0.5,0.5,32,650.1189742419588
10,0.6,0.4,94,650.1189742419588
10,0.7,0.3,43,650.1189742419588
10,0.8,0.2,56,650.1189742419588
10,0.9,0.1,96,634.4362436184645
10,1.0,0.0,0,328.66495167866503
11,0.0,1.0,35,625.486310756877
11,0.1,0.9,49,625.486310756877
11,0.2,0.8,16,625.486310756877
11,0.3,0.7,31,625.486310756877
11,0.4,0.6,32,625.486310756877
11,0.5,0.5,29,625.486310756877
11,0.6,0.4,43,611.195720896289
11,0.7,0.3,55,625.486310756877
11,0.8,0.2,68,625.486310756877
11,0.9,0.1,98,561.5913800207312
11,1.0,0.0,0,307.9705932779199
12,0.0,1.0,28,806.3852982473959
12,0.1,0.9,68,806.3852982473959
12,0.2,0.8,38,806.3852982473959
12,0.3,0.7,28,806.3852982473959
12,0.4,0.6,39,806.3852982473959
12,0.5,0.5,59,806.3852982473959
12,0.6,0.4,50,806.3852982473959
12,0.7,0.3,87,806.3852982473959
12,0.8,0.2,97,768.221195953204
12,0.9,0.1,39,736.0422800630192
12,1.0,0.0,0,407.21386952165506
13,0.0,1.0,23,836.1946276217475
13,0.1,0.9,17,836.1946276217475
13,0.2,0.8,28,836.1946276217475
13,0.3,0.7,59,836.1946276217475
13,0.4,0.6,27,836.1946276217475
13,0.5,0.5,31,836.1946276217475
13,0.6,0.4,46,836.1946276217475
13,0.7,0.3,78,836.1946276217475
13,0.8,0.2,88,836.1946276217475
13,0.9,0.1,99,818.6527010927055
13,1.0,0.0,0,450.0008234956643
14,0.0,1.0,19,666.282801186254
